,Count,Min,1st Quart,Mean,Median,3rd Quart,Max,Std Dev
Hue,4,16,16.0,16.75,16.5,17.25,18,0.829156197589
Saturation,4,149,156.5,169.5,172.0,185.0,185,15.8981130956
Lightness,4,133,148.75,170.75,170.0,192.0,210,29.4904645606
