,Count,Min,1st Quart,Mean,Median,3rd Quart,Max,Std Dev
Hue,988,11,16.0,18.3836032389,18.0,19.0,93,6.91603885865
Saturation,988,43,160.0,170.940283401,174.0,186.0,226,23.686367488
Lightness,988,80,135.0,149.36437247,151.0,165.0,205,21.9752535165
