,Min,1st Quart,Mean,Median,3rd Quart,Max,Std Dev
Hue,14,53.5,76.5555555556,78.0,96.5,146,30.2610045283
Saturation,16,43.5,66.4074074074,54.0,91.0,142,36.4216655702
