,Min,1st Quart,Mean,Median,3rd Quart,Max,Std Dev
Hue,4,9.0,10.3818181818,10.0,12.0,28,3.35653632308
Saturation,61,181.0,186.006060606,196.0,203.0,212,28.2517893174
