,Count,Min,1st Quart,Mean,Median,3rd Quart,Max,Std Dev
Hue,633,10,15.0,17.4407582938,17.0,18.0,42,3.74756970981
Saturation,633,32,112.0,131.396524487,130.0,150.0,213,28.6265233555
Lightness,633,85,123.0,135.139020537,136.0,147.0,196,18.9514956744
