,Count,Min,1st Quart,Mean,Median,3rd Quart,Max,Std Dev
Hue,127,13,16.0,24.1181102362,17.0,23.5,94,18.2029737872
Saturation,127,26,115.0,150.779527559,172.0,188.0,214,51.8413560302
Lightness,127,71,131.5,155.456692913,148.0,180.5,248,37.3710393378
