,Count,Min,1st Quart,Mean,Median,3rd Quart,Max,Std Dev
Hue,369,6,10.0,10.4363143631,11.0,11.0,15,1.44712909654
Saturation,369,98,153.0,162.715447154,164.0,173.0,199,16.0183771454
Lightness,369,89,131.0,149.544715447,148.0,165.0,217,26.3075160154
