,Count,Min,1st Quart,Mean,Median,3rd Quart,Max,Std Dev
Hue,99,7,9.0,9.73737373737,10.0,11.0,15,1.52146831384
Saturation,99,123,156.5,165.202020202,165.0,177.0,202,15.9747147414
Lightness,99,116,141.0,151.181818182,151.0,161.5,189,15.0918826508
